,Compte,Type,conId,Ticker,Quantité,Average Cost
0,DU1507426,Stock,5407,CAH,266.0,55.475
1,DU1507426,Stock,275850,VRTX,-71.0,212.4813972
2,DU1507426,Stock,3691937,AMZN,8.0,1756.165
3,DU1507426,Stock,9657,MCK,99.0,149.900101
4,DU1507426,Stock,13878278,CNC,-252.0,59.553648
5,DU1507426,Stock,375796353,XRX,-380.0,39.38406555
6,DU1507426,Stock,9358,MAR,110.0,135.9590909
7,DU1507426,Stock,9360,MAS,326.0,45.6965951
8,DU1507426,Stock,346403540,CI,75.0,198.63333335
9,DU1507426,Stock,2586156,KMX,-150.0,99.72115
10,DU1507426,Stock,29380756,NDAQ,-143.0,104.59673635
11,DU1507426,Stock,8251,HUM,-45.0,334.44073555
12,DU1507426,Stock,94078796,FBHS,234.0,63.495
13,DU1507426,Stock,8894,KO,-282.0,53.13378085
14,DU1507426,Stock,4726021,SWKS,153.0,97.64653595
15,DU1507426,Stock,273733,REGN,-44.0,341.0800932
16,DU1507426,Stock,11656,RJF,166.0,89.1560241
17,DU1507426,Stock,269315,FISV,-128.0,116.0396664
18,DU1507426,Stock,12120,SHW,-25.0,585.57776
19,DU1507426,Stock,40369429,HBI,983.0,15.09313835
20,DU1507426,Stock,274385,SIVB,65.0,229.6553846
21,DU1507426,Stock,268627,DHI,-273.0,54.71374835
22,DU1507426,Stock,6442,DHR,106.0,140.20509435
23,DU1507426,Stock,120643512,NCLH,278.0,53.605
24,DU1507426,Stock,49588376,PM,-178.0,83.56253315
