,Compte,Type,conId,Ticker,Quantité,Average Cost
0,DU1507425,Stock,5407,CAH,268.0,54.015
1,DU1507425,Stock,9705,MMC,-142.0,105.97064505
2,DU1507425,Stock,3691937,AMZN,8.0,1746.8505875
3,DU1507425,Stock,129348126,NWSA,754.0,13.035
4,DU1507425,Stock,9282,LUV,259.0,57.125
5,DU1507425,Stock,13535,VNO,-234.0,65.8735171
6,DU1507425,Stock,5336,BWA,-351.0,42.0840097
7,DU1507425,Stock,13878278,CNC,-252.0,59.563648
8,DU1507425,Stock,137780444,TWTR,473.0,31.085
9,DU1507425,Stock,9360,MAS,-2.0,47.01905
10,DU1507425,Stock,276329,ZION,589.0,50.09845755
11,DU1507425,Stock,338719530,LIN,-71.0,209.2714648
12,DU1507425,Stock,36320731,CHRW,-200.0,76.107536
13,DU1507425,Stock,346403540,CI,75.0,197.51589465
14,DU1507425,Stock,9769,MO,-297.0,49.6438532
15,DU1507425,Stock,80986742,GM,408.0,35.927451
16,DU1507425,Stock,29380756,NDAQ,-143.0,104.58373005
17,DU1507425,Stock,12362013,ADS,-95.0,104.21719685
18,DU1507425,Stock,36786278,UAA,771.0,19.1414851
19,DU1507425,Stock,4644,ATO,100.0,109.72
20,DU1507425,Stock,8908,KR,355.0,27.665
21,DU1507425,Stock,2585323,MTB,88.0,166.01136365
22,DU1507425,Stock,94078796,FBHS,234.0,63.495
23,DU1507425,Stock,8894,KO,-282.0,53.13378085
24,DU1507425,Stock,265598,AAPL,-56.0,265.5265268
25,DU1507425,Stock,4726176,ALXN,85.0,115.6917647
26,DU1507425,Stock,11656,RJF,166.0,89.15
27,DU1507425,Stock,269315,FISV,-128.0,116.30966095
28,DU1507425,Stock,12120,SHW,-25.0,585.57776
29,DU1507425,Stock,268627,DHI,-273.0,54.71374835
30,DU1507425,Stock,661507,LH,-87.0,171.19484255
31,DU1507425,Stock,120643512,NCLH,278.0,53.60219425
32,DU1507425,Stock,661633,WAB,183.0,81.0054645
33,DU1507425,Stock,49588376,PM,-178.0,83.56253315
