,Symb.,Name,Sector,Period,Begin.,End,Pnl $,Pnl %,Gross Profit,Gross Loss,# Winners,# Loosers,% Winners,MaxDD $,MaxDD %,Aver. Win $,Aver. Loos $,Aver. Duration,Total Trades,% Long,% Short,Profit Factor
0,BKNG,Name,Sector,[],2019-03-14,2020-01-08,2183.8,43.68,2814.28,-630.48,9,7,56.25,-237.99,-4.76,313.0,-90.0,[],16,50.0,50.0,4.46
1,CLX,Name,Sector,[],2019-03-14,2020-01-08,1050.3,21.01,1051.29,-0.99,5,1,83.33,-314.88,-6.3,210.0,-1.0,[],6,50.0,50.0,1061.91
2,DHI,Name,Sector,[],2019-03-19,2020-01-03,42.38,0.85,656.95,-614.57,3,3,50.0,-532.44,-10.65,219.0,-205.0,[],6,0.0,100.0,1.07
3,EVRG,Name,Sector,[],2019-03-14,2019-12-12,743.47,14.87,743.47,0.0,4,1e-05,100.0,21.58,0.43,186.0,0.0,[],4,100.0,0.0,inf
4,FTV,Name,Sector,[],2019-10-08,2020-01-03,1106.24,22.12,1106.24,0.0,3,1e-05,100.0,56.55,1.13,369.0,0.0,[],3,66.67,33.33,inf
5,JWN,Name,Sector,[],2019-03-14,2020-01-08,5880.32,117.61,6605.52,-725.2,21,5,80.77,-361.12,-7.22,315.0,-145.0,[],26,34.62,65.38,9.11
6,MAS,Name,Sector,[],2019-03-18,2020-01-07,2215.08,44.3,2470.62,-255.54,16,2,88.89,-227.04,-4.54,154.0,-128.0,[],18,38.89,61.11,9.67
7,NCLH,Name,Sector,[],2019-03-15,2020-01-08,-405.73,-8.11,1941.42,-2347.15,11,12,47.83,-332.22,-6.64,176.0,-196.0,[],23,52.17,47.83,0.83
8,NWSA,Name,Sector,[],2019-03-14,2020-01-07,-446.82,-8.94,549.29,-996.11,4,5,44.44,-422.65,-8.45,137.0,-199.0,[],9,33.33,66.67,0.55
9,SHW,Name,Sector,[],2019-03-21,2020-01-07,1527.08,30.54,1637.98,-110.9,11,1,91.67,-118.3,-2.37,149.0,-111.0,[],12,25.0,75.0,14.77
10,STZ,Name,Sector,[],2019-03-14,2020-01-08,-866.11,-17.32,2075.82,-2941.93,11,15,42.31,-361.14,-7.22,189.0,-196.0,[],26,53.85,46.15,0.71
11,WFC,Name,Sector,[],2019-03-19,2020-01-08,641.28,12.83,1337.63,-696.35,6,1,85.71,-992.2,-19.84,223.0,-696.0,[],7,0.0,100.0,1.92
12,ZION,Name,Sector,[],2019-03-15,2020-01-08,1999.45,39.99,2101.59,-102.14,11,2,84.62,-89.91,-1.8,191.0,-51.0,[],13,23.08,76.92,20.58
