,Compte,Type,conId,Ticker,Quantité,Average Cost
0,DU1507429,Stock,7089,FCX,-780.0,12.87435795
1,DU1507429,Stock,89495776,MPC,-172.0,58.09286455
2,DU1507429,Stock,9657,MCK,72.0,137.1638889
3,DU1507429,Stock,8097,HP,-221.0,46.2117525
4,DU1507429,Stock,13206,UHS,70.0,141.5642857
5,DU1507429,Stock,6231002,UPS,-86.0,116.19584765
6,DU1507429,Stock,11257,PNW,-111.0,89.9190108
7,DU1507429,Stock,9720,MMM,-56.0,178.0683375
8,DU1507429,Stock,196610642,AGN,-52.0,191.2266923
9,DU1507429,Stock,270825,JBHT,-87.0,114.7560115
10,DU1507429,Stock,3655640,HSIC,-149.0,67.1617792
11,DU1507429,Stock,11758,RTN,-46.0,219.96358915
12,DU1507429,Stock,12225,AOS,-211.0,47.53389715
13,DU1507429,Stock,8130,HRB,-429.0,23.3234191
14,DU1507429,Stock,4627828,GS,-43.0,231.09184185
15,DU1507429,Stock,6437,TGT,79.0,124.93265825
16,DU1507429,Stock,181764593,EQIX,-17.0,579.73905295
17,DU1507429,Stock,5402,CAG,594.0,32.94651515
18,DU1507429,Stock,44986804,BK,-200.0,50.1238435
19,DU1507429,Stock,338719530,LIN,49.0,204.81040815
20,DU1507429,Stock,32943358,CE,-85.0,118.2056694
21,DU1507429,Stock,92306678,RL,-86.0,116.3658442
22,DU1507429,Stock,15130038,SJM,-97.0,102.9374402
23,DU1507429,Stock,29380756,NDAQ,-93.0,108.0468914
24,DU1507429,Stock,273733,REGN,-27.0,371.05516295
25,DU1507429,Stock,7496,GD,-57.0,175.7287
26,DU1507429,Stock,4726021,SWKS,84.0,115.75190475
27,DU1507429,Stock,76915240,STX,-172.0,58.3328593
28,DU1507429,Stock,9599491,F,-1084.0,9.2546893
29,DU1507429,Stock,4762,BA,-30.0,332.04967335
30,DU1507429,Stock,7935,HOG,-276.0,36.524125
31,DU1507429,Stock,318911976,JEF,-470.0,21.29444
32,DU1507429,Stock,5021340,BXP,-73.0,136.70335205
33,DU1507429,Stock,94078796,FBHS,-153.0,65.2419941
34,DU1507429,Stock,8385,IFF,-79.0,126.99459365
35,DU1507429,Stock,268995,EA,-93.0,106.976914
36,DU1507429,Stock,5684,CVX,-84.0,119.5955
37,DU1507429,Stock,9769,MO,-201.0,49.79385025
38,DU1507429,Stock,661507,LH,-59.0,169.0594322
39,DU1507429,Stock,83975037,KMI,-477.0,20.98444655
40,DU1507429,Stock,129131475,COTY,-923.0,10.83465665
41,DU1507429,Stock,308728373,BKNG,-5.0,2060.78722
42,DU1507429,Stock,4694,AVY,79.0,126.72265825
43,DU1507429,Stock,271967,MHK,76.0,131.2731579
44,DU1507429,Stock,6735,EFX,-71.0,140.32289155
